T,RH
15.5,51.9
14.1,55.6
13.1,57.9
12.7,57.9
11.8,58.0
11.9,57.4
9.9,65.2
11.1,60.2
14.1,50.0
17.7,40.1
21.1,33.4
24.3,28.3
25.6,25.6
25.9,25.9
26.8,18.7
29.3,15.8
28.5,14.9
25.9,16.0
23.1,26.5
20.5,38.2
19.1,42.6
17.2,44.1
16.0,50.9
14.8,53.9
14.3,55.4
14.8,52.1
13.9,53.9
11.6,61.9
12.0,58.9
10.9,62.1
10.6,63.3
11.5,60.0
14.3,50.6
17.8,40.5
20.8,34.4
23.8,28.2
24.2,28.7
25.2,24.9
27.0,17.8
27.1,23.1
25.8,23.9
23.0,26.8
20.7,31.1
18.6,36.2
16.0,48.4
14.5,57.8
13.1,64.2
12.0,69.7
11.9,71.1
12.5,69.3
12.5,67.5
12.3,67.7
12.5,66.8
12.3,66.3
12.4,64.9
13.0,61.6
13.6,58.8
13.9,57.1
14.5,54.4
15.5,50.1
16.1,47.6
16.3,47.1
16.4,47.5
16.1,50.2
16.0,50.7
15.8,50.3
15.5,50.6
15.4,51.4
15.2,53.1
14.7,57.6
14.2,58.3
13.8,57.9
13.9,55.9
13.9,55.6
13.8,55.1
13.8,54.6
13.6,55.1
13.6,59.0
13.5,58.4
13.8,58.0
14.6,53.1
15.0,52.3
15.4,52.1
16.3,50.0
17.1,47.9
19.0,42.9
19.5,42.3
19.5,42.3
19.1,43.8
18.5,46.3
17.4,51.6
17.1,51.3
16.4,53.8
16.2,55.4
15.9,57.7
15.7,58.6
15.1,60.9
15.6,56.6
15.2,57.9
15.4,57.8
14.9,60.6
14.5,63.0
14.2,66.2
14.5,65.3
15.3,62.1
16.3,59.0
18.9,49.6
19.4,46.1
20.8,41.6
21.4,40.3
21.2,39.3
20.3,38.0
19.4,41.3
18.5,43.8
17.8,48.1
17.9,46.9
17.4,49.1
17.0,51.7
16.4,55.1
16.1,60.0
15.8,60.5
16.3,57.0
16.9,53.9
16.1,55.9
16.5,53.9
16.4,54.0
15.7,57.6
15.8,53.7
17.4,42.1
17.9,38.4
18.5,36.7
21.0,29.6
21.3,28.1
21.3,26.1
21.3,26.8
21.3,24.2
20.2,28.5
17.0,43.1
15.6,47.4
15.3,47.4
14.5,49.7
13.9,52.0
14.5,49.4
13.8,51.4
14.0,51.3
13.0,56.8
11.0,70.0
10.1,76.8
8.8,80.5
9.6,75.4
9.8,75.0
10.0,74.2
11.2,69.7
12.0,62.9
12.8,55.8
13.1,54.8
13.8,53.4
16.0,42.4
14.1,49.8
12.0,61.1
13.6,54.6
13.7,49.5
11.7,57.1
11.5,58.2
12.6,54.2
12.0,54.9
11.0,61.4
11.1,62.2
10.8,62.5
11.3,60.0
10.6,61.6
10.2,62.7
10.9,58.6
10.8,57.2
10.4,59.2
11.0,57.3
11.2,56.9
12.1,54.9
15.1,44.3
15.6,40.6
16.9,34.6
16.6,35.6
11.3,63.9
9.6,81.1
11.7,69.1
10.7,68.5
10.7,67.3
10.8,65.7
10.3,66.3
10.1,66.9
10.4,61.1
10.3,59.9
11.0,58.4
9.1,68.1
9.5,68.2
9.3,72.3
9.9,66.8
7.6,83.2
8.1,79.0
8.7,74.6
8.6,75.1
9.7,69.7
11.0,64.4
13.6,53.0
14.2,48.4
14.2,46.3
16.0,41.3
17.7,35.4
17.1,37.4
14.9,40.5
13.4,47.8
12.6,52.5
12.2,53.2
10.6,56.1
9.9,59.5
9.6,61.1
9.7,61.6
9.4,62.6
8.2,68.5
8.0,69.4
7.7,72.4
8.0,71.8
8.5,66.3
9.8,59.6
11.2,57.0
14.8,44.1
16.8,35.3
19.2,27.1
19.1,26.2
16.3,30.8
14.2,36.8
13.4,41.0
14.2,43.3
12.1,45.6
10.4,48.0
10.0,51.1
9.8,50.8
9.7,50.4
9.9,50.2
9.4,53.4
8.6,57.8
8.1,62.1
7.9,63.5
7.4,64.8
8.2,58.9
6.3,66.6
7.2,62.9
7.2,63.9
11.1,50.5
15.5,36.1
17.8,29.2
17.6,30.1
19.1,26.8
17.7,28.6
17.8,28.4
18.7,26.0
17.1,31.3
15.8,36.1
14.7,40.1
13.6,44.9
12.5,48.1
11.8,50.8
10.9,56.1
10.9,55.9
10.3,58.1
9.3,62.2
8.2,66.7
8.3,64.9
9.6,58.5
7.7,66.4
7.4,68.0
9.7,58.6
12.5,50.1
16.8,36.9
19.2,31.3
21.3,26.4
21.2,23.1
18.6,25.0
18.0,27.3
18.2,28.3
17.0,31.4
15.6,35.0
14.1,40.2
13.4,43.2
12.3,46.8
11.9,46.5
11.5,46.6
10.6,48.0
10.7,45.8
10.4,46.6
10.1,47.8
11.3,46.9
10.1,51.2
9.9,50.7
8.1,56.8
10.9,44.1
11.8,37.6
13.9,33.2
15.6,30.1
16.5,29.0
17.5,27.9
17.9,26.8
18.2,26.1
18.0,27.1
17.0,28.9
16.1,31.3
14.5,35.4
13.2,37.9
13.1,34.4
13.5,28.5
12.4,31.9
13.1,26.8
11.6,33.6
10.5,42.9
11.7,38.7
12.2,37.2
12.9,33.9
11.3,40.3
11.9,38.4
13.3,35.6
16.3,28.8
17.9,28.2
18.3,26.6
20.8,22.5
22.4,20.0
20.9,21.7
19.1,26.5
18.1,30.6
17.3,34.7
15.8,40.4
15.9,42.0
15.9,43.5
15.0,46.1
15.1,44.6
14.9,43.5
14.8,41.0
14.8,40.8
14.8,40.8
14.2,36.1
14.5,36.1
14.6,36.0
14.4,38.5
13.8,58.2
13.2,61.1
10.4,74.4
11.5,71.0
12.2,70.0
12.3,73.3
11.3,78.1
